No,URI,Shortname,National?,Capital?,Official,,,,,PlatformType,,,
63,http://data.opendataportal.at/,data_opendataportal_at,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
64,http://opendata.comune.bari.it/,opendata_comune_bari_it,,,Y,None,IT,EU,it,ckan,MANUAL,NULL,NULL
65,http://data.ktn.gv.at/category/all/page/,data_ktn_gv_at,,,Y,None,NULL,NULL,,html,MANUAL,NULL,NULL
66,http://datos.madrid.es/portal/site/egob/menuitem.9e1e2f6404558187cf35cf3584f1a5a0/?vgnextoid=374512b9ace9f310VgnVCM100000171f5a0aRCRD&page=,dados-madrid-es,,?,Y,None,ES,EU,es,html,MANUAL,NULL,NULL
67,http://opendata.montpelliernumerique.fr/Les-donnees?pagination_rubdata&debut_rubdata=,opendata-montpelliernumerique-fr,,,Y,None,FR,EU,fr,html,MANUAL,NULL,NULL
68,http://www.gobiernoabierto.navarra.es/es/open-data/datos/catalogo?clave=&tema=All&cat=All&format=All&page=,gobiernoabierto-navarra-es,,,Y,None,ES,EU,es,html,MANUAL,NULL,NULL
69,http://suche.transparenz.hamburg.de/,daten_hamburg_de,,,Y,None,DE,EU,de,ckan,MANUAL,NULL,NULL
70,http://data.gov.md/ckan/,data-gov-md,,,Y,,,,,,,,
71,http://opendata.antwerpen.be,opendata-antwerpen-be,,,Y,,,,,,,,
72,http://dati.toscana.it/,dati-toscana-it,,,Y,,,,,,,,
73,http://www.datiopen.it/SpodCkanApi/,datiopen-it,,,N,,,,,,,,
74,http://www.datosabiertos.jcyl.es,datosabiertos-jcyl-es,,,Y,,,,,,,,
75,http://www.opendatamalta.org/ckan/,opendatamalta-org,,,N,,,,,,,,
76,http://data.steiermark.at/,,,,Y,,,,,,,,
77,http://data.gent.be/,,,,Y,,,,,,,,
78,http://www.daten.bremen.de/sixcms/detail.php?gsid=bremen02.c.730.de,,,,Y,,,,,,,,
79,http://www.caib.es/caibdatafront/,,,,Y,,,,,,,,
80,http://www.opengov.se/data,,,,N,,,,,,,,
81,http://data.southampton.ac.uk/,,,,U,,,,,,,,
82,http://www.opendatanottingham.org.uk/,,,,Y,,,,,,,,
83,http://www3.hants.gov.uk/opendata/,,,,Y,,,,,,,,
84,https://www.opengov-muenchen.de/,,,,Y,,,,,,,,
85,http://geodata.gov.gr/geodata/,,,,Y,,,,,,,,
86,http://data.noe.gv.at/,,,,Y,,,,,,,,
87,http://www.dipusevilla.es/datosabiertos/,,,,Y,,,,,,,,
88,https://datos.upo.gob.es/,,,,Y,,,,,,,,
89,http://datos.santander.es/,,,,Y,,,,,,,,
90,http://gobiernoabierto.gobex.es/,,,,Y,,,,,,,,
91,http://www.larioja.org/npRioja/default/index.jsp?idtab=758984,,,,Y,,,,,,,,
92,http://dkh.deusto.es,,,,Y,,,,,,,,
93,http://dati.comune.bologna.it/,,,,Y,,,,,,,,
94,https://opendata.bristol.gov.uk/,,,,Y,,,,,,,,
95,http://dati.comune.roma.it/,,,,Y,,,,,,,,
96,https://www.dati.lombardia.it/,,,,Y,,,,,,,,
97,https://gavaobert.gavaciutat.cat/,,,,Y,,,,,,,,
98,http://www.datalocale.fr/,,,,Y,,,,,,,,
99,https://open.nrw/,,,,Y,,,,,,,,
100,http://data.loire-atlantique.fr/,,,,Y,,,,,,,,
